panel,sex,region,group,number
a,male,VTA,ELS,251
f,female,VTA,ELS,124
i,male,NAc,ELS,135
n,female,NAc,ELS,307
q,male,PFC,ELS,94
v,female,PFC,ELS,74
a,male,VTA,ELS + AS,79
f,female,VTA,ELS + AS,163
i,male,NAc,ELS + AS,150
n,female,NAc,ELS + AS,145
q,male,PFC,ELS + AS,176
v,female,PFC,ELS + AS,290
a,male,VTA,AS,290
f,female,VTA,AS,82
i,male,NAc,AS,69
n,female,NAc,AS,115
q,male,PFC,AS,142
v,female,PFC,AS,95
a,male,VTA,ELS vs AS,51
f,female,VTA,ELS vs AS,8
i,male,NAc,ELS vs AS,7
n,female,NAc,ELS vs AS,20
q,male,PFC,ELS vs AS,19
v,female,PFC,ELS vs AS,14
a,male,VTA,ELS vs ELS + AS,12
f,female,VTA,ELS vs ELS + AS,44
i,male,NAc,ELS vs ELS + AS,14
n,female,NAc,ELS vs ELS + AS,209
q,male,PFC,ELS vs ELS + AS,51
v,female,PFC,ELS vs ELS + AS,10
a,male,VTA,AS vs ELS + AS,34
f,female,VTA,AS vs ELS + AS,30
i,male,NAc,AS vs ELS + AS,20
n,female,NAc,AS vs ELS + AS,6
q,male,PFC,AS vs ELS + AS,46
v,female,PFC,AS vs ELS + AS,6
a,male,VTA,All,25
f,female,VTA,All,51
i,male,NAc,All,9
n,female,NAc,All,11
q,male,PFC,All,16
v,female,PFC,All,9

